Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1000,16-06-2025,18-06-2025,CUST714,Christopher Kennedy,Corporate,PROD5865,Bookshelf,Furniture,North,Arkansas,Ronaldfurt,6,4365,10,23571,16436.5,7134.5,Net Banking,Cancelled,Meza Ltd,mweber@gonzalez.com,27,No,0
ORD1001,29-10-2024,01-11-2024,CUST751,Amy Ward,Home Office,PROD7985,Bookshelf,Furniture,South,Texas,Simsburgh,1,2118,5,2012.1,1222.23,789.87,Net Banking,Returned,"Flores, Cooper and Rodriguez",steven49@gill-welch.org,46,No,0
ORD1002,09-09-2025,16-09-2025,CUST158,Monica Gibbs,Home Office,PROD1579,Dining Table,Furniture,West,Arkansas,Chrisberg,4,1910,20,6112,5026.12,1085.88,Net Banking,Pending,Villanueva-Lee,james42@jones-johnson.com,2,Yes,44
ORD1003,03-07-2025,06-07-2025,CUST916,Stephen Dunn,Consumer,PROD8175,Study Table,Furniture,South,Florida,West Melissafurt,4,3824,0,15296,9929.74,5366.26,Net Banking,Delivered,"Obrien, Ortega and Campbell",leeteresa@webster.com,19,No,0
ORD1004,11-09-2025,16-09-2025,CUST748,Bob Green,Home Office,PROD1751,Calculator,Office Supplies,North,Wisconsin,South Becky,4,809,10,2912.4,2008.2,904.2,Credit Card,Pending,Brown-Romero,kelseycook@bradley.info,46,No,0
ORD1005,25-01-2025,31-01-2025,CUST208,Christopher Vance,Home Office,PROD4287,Rice Bag,Grocery,West,Missouri,Campbellfort,4,4883,0,19532,14692.35,4839.65,Net Banking,Pending,Ayers-Santiago,garciascott@walker.info,13,No,0
ORD1006,01-08-2025,07-08-2025,CUST427,Carla Conner,Corporate,PROD6929,Pen,Office Supplies,West,Massachusetts,Carriestad,6,2474,5,14101.8,9173.36,4928.44,UPI,Pending,Washington Group,jamielong@davis.com,16,No,0
ORD1007,06-10-2024,11-10-2024,CUST299,Julie Bowman,Corporate,PROD5692,Pen,Office Supplies,South,Tennessee,Scottbury,6,3228,15,16462.8,14184.79,2278.01,Credit Card,Pending,Perry-Rodriguez,willisjennifer@foster.com,19,No,0
ORD1008,14-09-2024,20-09-2024,CUST952,Christian Harris,Home Office,PROD4365,Mouse,Electronics,South,Texas,Jesusberg,10,4104,0,41040,31904.01,9135.99,Cash,Returned,Hamilton-Jackson,hevans@walters-warner.com,27,No,0
ORD1009,27-05-2024,02-06-2024,CUST159,Dr. Jeffery Hansen,Consumer,PROD1522,Mouse,Electronics,East,Kansas,Port Virginia,9,1731,0,15579,11974.34,3604.66,Net Banking,Pending,"Torres, Jones and Brown",andrewmontgomery@delacruz.com,45,No,0
ORD1010,18-04-2025,24-04-2025,CUST502,Michelle Smith,Home Office,PROD3991,Keyboard,Electronics,South,Hawaii,Port Matthew,10,1829,10,16461,10286.66,6174.34,Cash,Pending,Palmer Group,jasontucker@ochoa.com,17,No,0
ORD1011,03-05-2024,05-05-2024,CUST353,Leslie Black,Consumer,PROD7706,Sugar,Grocery,North,Kentucky,Villafort,10,1986,15,16881,11515.66,5365.34,Net Banking,Cancelled,Randolph and Sons,vbender@craig.net,16,No,0
ORD1012,23-11-2024,29-11-2024,CUST185,Ronald Robertson,Consumer,PROD3897,Monitor,Electronics,South,Missouri,Millerview,8,3069,20,19641.6,15234.84,4406.76,UPI,Pending,"Garcia, Walls and Li",preed@walters.org,48,No,0
ORD1013,29-08-2024,31-08-2024,CUST707,David Edwards,Home Office,PROD5048,Keyboard,Electronics,South,Louisiana,Arielburgh,9,412,5,3522.6,2680.86,841.74,Cash,Returned,"Brennan, Ortiz and Wilson",johnsonchristopher@rowland-moore.com,1,Yes,35
ORD1014,21-02-2025,23-02-2025,CUST442,Nicholas Rose,Home Office,PROD3753,Headphones,Electronics,East,Alabama,Brettport,8,3872,0,30976,25120.87,5855.13,Cash,Delivered,Holden Ltd,ellisfrank@blevins.biz,3,Yes,40
ORD1015,08-12-2023,14-12-2023,CUST199,Brandon Rogers,Consumer,PROD4849,Sugar,Grocery,East,Minnesota,Dickersonton,6,4272,10,23068.8,17685.21,5383.59,Credit Card,Returned,Juarez Inc,ebates@house-vance.com,15,No,0
ORD1016,12-02-2024,19-02-2024,CUST662,Alicia Cook,Home Office,PROD5178,Stapler,Office Supplies,West,Utah,Geraldport,4,3184,5,12099.2,8887.64,3211.56,Net Banking,Cancelled,Wilson-Brooks,mario04@howard-villarreal.com,31,No,0
ORD1017,22-09-2025,29-09-2025,CUST449,Ronnie Watson,Consumer,PROD7306,Monitor,Electronics,North,Alabama,New Jessicafort,2,2372,0,4744,3684.4,1059.6,UPI,Returned,Fuentes-Flores,jordanhunter@walker-bass.com,2,Yes,40
ORD1018,19-08-2024,24-08-2024,CUST838,Jeremy Williamson,Consumer,PROD2925,Bookshelf,Furniture,North,Massachusetts,Nelsonview,6,1403,15,7155.3,4483.32,2671.98,Credit Card,Delivered,"Barker, Hicks and Taylor",cesarclark@choi.com,8,Yes,48
ORD1019,30-12-2023,31-12-2023,CUST281,Regina Kennedy,Consumer,PROD7589,Monitor,Electronics,West,Alaska,Rodneyborough,10,4459,20,35672,30682.93,4989.07,Credit Card,Delivered,Woods and Sons,agreen@hill.info,24,No,0
ORD1020,17-08-2024,23-08-2024,CUST893,Jamie Rodriguez,Consumer,PROD8895,Sugar,Grocery,North,Kansas,Kylebury,9,3989,5,34105.95,22673.35,11432.6,Credit Card,Delivered,Nelson and Sons,qolson@davis.com,47,No,0
ORD1021,05-05-2025,07-05-2025,CUST536,Alicia Stone,Home Office,PROD3174,Pen,Office Supplies,East,Texas,Marytown,6,4040,15,20604,16467.56,4136.44,UPI,Delivered,Williams-Harmon,jessica10@cowan-edwards.net,35,No,0
ORD1022,27-07-2024,03-08-2024,CUST394,Amanda Parker,Home Office,PROD1688,File Folder,Office Supplies,South,Arkansas,Larsenland,2,470,10,846,570.03,275.97,Credit Card,Delivered,King-Chavez,anthonymorris@moody-adams.com,8,Yes,37
ORD1023,22-10-2024,27-10-2024,CUST564,William Casey,Home Office,PROD9602,Dining Table,Furniture,East,Minnesota,Matthewstown,10,384,10,3456,2540.69,915.31,Cash,Pending,"Saunders, Sims and Miller",laura38@peterson.com,0,Yes,39
ORD1024,25-08-2024,28-08-2024,CUST829,Kyle Meyer,Consumer,PROD1471,Dining Table,Furniture,North,Rhode Island,New Kimberly,2,2511,5,4770.9,3371.13,1399.77,Cash,Delivered,Lynch and Sons,longgeoffrey@anderson-brown.info,6,Yes,21
ORD1025,22-05-2025,24-05-2025,CUST946,Albert Fernandez,Consumer,PROD4970,Office Chair,Furniture,North,New Hampshire,East David,3,4872,5,13885.2,9960.38,3924.82,UPI,Delivered,Hancock Ltd,xanderson@washington.com,20,No,0
ORD1026,19-11-2024,24-11-2024,CUST214,Kristen Roman,Home Office,PROD9749,Laptop,Electronics,East,Montana,Port Mark,10,1934,20,15472,10806.21,4665.79,Net Banking,Pending,"Joseph, Hernandez and Bailey",lmartinez@diaz.org,40,No,0
ORD1027,17-11-2023,22-11-2023,CUST180,Andrea Anderson,Corporate,PROD1017,Cooking Oil,Grocery,North,Delaware,Jacksonshire,9,4951,0,44559,38928.65,5630.35,Cash,Returned,Hernandez-Contreras,clarkanthony@martinez.net,18,No,0
ORD1028,10-11-2023,11-11-2023,CUST179,Ashley Ward,Consumer,PROD9620,Sofa,Furniture,East,Oregon,Pittmantown,4,2664,15,9057.6,7138.7,1918.9,Cash,Pending,"Hines, Johnson and Martin",john73@gallagher.net,9,Yes,22
ORD1029,18-08-2025,23-08-2025,CUST664,Phillip Sawyer,Home Office,PROD1118,Keyboard,Electronics,East,Oklahoma,Maryfort,6,473,15,2412.3,2032.68,379.62,Credit Card,Cancelled,"Holmes, Smith and Phillips",joseph80@prince.com,30,No,0
ORD1030,09-04-2025,10-04-2025,CUST107,Sandra Henderson MD,Corporate,PROD6001,File Folder,Office Supplies,East,Nevada,Port Benjaminstad,6,2097,15,10694.7,8718.1,1976.6,Credit Card,Pending,Smith-Lewis,rcole@wolf.net,43,No,0
ORD1031,20-03-2024,25-03-2024,CUST724,James Santos,Corporate,PROD8953,Cooking Oil,Grocery,East,Oklahoma,Port Stephen,1,2407,15,2045.95,1811.13,234.82,Credit Card,Returned,Watts-Mcdonald,qlee@williams.com,0,Yes,34
ORD1032,29-07-2024,03-08-2024,CUST559,Catherine Stanley,Consumer,PROD7335,Pen,Office Supplies,East,Delaware,North Williamberg,3,3327,10,8982.9,6403.39,2579.51,Net Banking,Delivered,Griffith LLC,forbesjeffery@manning-hill.com,19,No,0
ORD1033,28-01-2024,03-02-2024,CUST767,Kyle Stewart,Consumer,PROD4484,Monitor,Electronics,North,Kansas,East Andrew,1,3130,0,3130,2652.39,477.61,Cash,Cancelled,Smith Group,austin04@perkins.info,12,No,0
ORD1034,27-09-2024,29-09-2024,CUST389,Terri Smith,Consumer,PROD8357,Bookshelf,Furniture,North,Ohio,Port Nancyshire,8,776,0,6208,4210.3,1997.7,Cash,Pending,"Herrera, Morgan and Davis",johnsonamanda@schneider.info,25,No,0
ORD1035,29-03-2024,02-04-2024,CUST521,Craig Thornton,Corporate,PROD3597,Snacks,Grocery,West,North Carolina,Meredithmouth,3,3854,15,9827.7,6539.61,3288.09,Cash,Delivered,Landry-Mullins,lopezsusan@thomas.net,39,No,0
ORD1036,14-12-2024,21-12-2024,CUST502,Audrey Perry,Corporate,PROD9342,Laptop,Electronics,West,Pennsylvania,South Alexandraburgh,9,729,0,6561,5284.72,1276.28,Net Banking,Pending,Garrison-King,duaneglass@fuller.com,7,Yes,46
ORD1037,09-05-2025,14-05-2025,CUST376,Dr. Debra Hansen MD,Corporate,PROD3686,Cooking Oil,Grocery,North,South Dakota,Danielberg,3,608,20,1459.2,1067.28,391.92,Net Banking,Returned,"Buckley, Stanley and Mcdaniel",amanda15@smith-holt.com,37,No,0
ORD1038,27-04-2025,04-05-2025,CUST699,Keith Shelton,Consumer,PROD5500,Sugar,Grocery,East,Virginia,Lake Barbarahaven,4,1876,20,6003.2,5116.93,886.27,Cash,Delivered,"Anthony, Krause and Vance",jacksonjulia@mendoza.info,6,Yes,31
ORD1039,23-02-2024,28-02-2024,CUST252,William Reynolds,Corporate,PROD2092,Keyboard,Electronics,North,Pennsylvania,Weberburgh,8,3410,5,25916,19240.54,6675.46,Credit Card,Delivered,"Smith, Conner and Moore",sarah02@gonzalez.com,15,No,0
ORD1040,25-06-2024,02-07-2024,CUST716,Kelly Rowe,Home Office,PROD3297,Laptop,Electronics,South,Ohio,Charlesshire,6,4939,5,28152.3,19210.28,8942.02,Credit Card,Cancelled,Rich-Ramsey,jeffreywilliams@conley.org,27,No,0
ORD1041,23-08-2025,29-08-2025,CUST901,Matthew Williams,Home Office,PROD7114,Snacks,Grocery,South,Maine,Ramirezborough,4,3852,10,13867.2,12011.87,1855.33,Cash,Pending,Brown PLC,johnsonchristopher@cruz.org,16,No,0
ORD1042,03-11-2023,07-11-2023,CUST982,Angel Mcclure,Corporate,PROD2781,Headphones,Electronics,East,Kansas,New Hannah,4,3832,20,12262.4,10973.58,1288.82,Cash,Cancelled,Leblanc and Sons,gferguson@thompson.com,34,No,0
ORD1043,16-09-2024,17-09-2024,CUST545,Amber Brooks,Corporate,PROD4919,Office Chair,Furniture,South,Florida,North Melindamouth,4,2298,20,7353.6,5660.27,1693.33,Cash,Pending,"Hall, Wood and Carroll",zchristensen@zavala-anderson.info,4,Yes,48
ORD1044,23-06-2024,27-06-2024,CUST731,Anthony Hendrix,Corporate,PROD1454,Dining Table,Furniture,North,North Dakota,South John,5,1746,0,8730,6172.24,2557.76,Cash,Cancelled,Griffin Ltd,jacquelinestrong@robinson-glenn.info,42,No,0
ORD1045,27-11-2023,28-11-2023,CUST510,Sarah Doyle,Corporate,PROD4402,Keyboard,Electronics,East,Maryland,Nicholasshire,4,3150,0,12600,10474.93,2125.07,Net Banking,Cancelled,Thomas Group,denniscrystal@torres.com,20,No,0
ORD1046,19-08-2025,21-08-2025,CUST464,Jessica Bolton,Home Office,PROD3852,Notebook,Office Supplies,East,New York,Stewarthaven,10,3003,0,30030,24185.62,5844.38,Cash,Returned,"Conner, Williams and Jones",jeremyparker@terry.com,44,No,0
ORD1047,13-11-2024,17-11-2024,CUST358,John Bell,Corporate,PROD2985,Rice Bag,Grocery,West,Georgia,New Brian,1,1225,0,1225,831.17,393.83,Cash,Cancelled,"Stewart, Ramirez and Edwards",jonathanoneal@mason.net,16,No,0
ORD1048,07-03-2024,10-03-2024,CUST530,Nicole Wright,Consumer,PROD9136,Sugar,Grocery,North,Nevada,Jeffreyberg,6,4372,20,20985.6,17595.98,3389.62,Credit Card,Cancelled,Holt Group,joel21@robles.net,10,No,0
ORD1049,04-05-2025,08-05-2025,CUST400,Patricia Martinez,Consumer,PROD2273,Dining Table,Furniture,North,New Hampshire,New Jamesview,10,494,0,4940,3823.33,1116.67,Credit Card,Returned,Simmons-Norris,diana15@martinez.biz,20,No,0
ORD1050,18-12-2023,21-12-2023,CUST308,Leroy Marks,Consumer,PROD5911,Headphones,Electronics,North,Alabama,Kevinstad,8,1157,15,7867.6,6823.89,1043.71,Credit Card,Cancelled,Hunter-Martinez,patrickstevens@maddox.com,20,No,0
